hex_index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
88ad360027fffff,13.0,9.0,15.0,10.0,23.0,14.0,22.0,13.0,24.0,33.0,15.0,16.0,11.0,4.0,10.0,5.0,8.0,5.0,12.0,5.0,3.0,5.0,9.0,15.0,15.0,9.0,7.0,17.0,8.0,10.0,21.0,11.0,18.0,10.0,20.0,8.0,26.0,24.0,3.0,19.0,11.0,4.0,23.0,26.0,13.0,22.0,12.0,6.0,21.0,14.0,15.0,8.0,5.0
88ad360029fffff,3.0,9.0,9.0,9.0,9.0,8.0,4.0,5.0,13.0,16.0,6.0,11.0,9.0,4.0,10.0,4.0,3.0,2.0,11.0,12.0,7.0,21.0,11.0,15.0,3.0,10.0,9.0,11.0,5.0,14.0,10.0,8.0,11.0,3.0,4.0,2.0,13.0,15.0,7.0,10.0,8.0,13.0,5.0,11.0,12.0,14.0,18.0,8.0,14.0,10.0,9.0,2.0,5.0
88ad36002bfffff,12.0,13.0,21.0,12.0,16.0,9.0,9.0,16.0,11.0,21.0,16.0,15.0,2.0,8.0,6.0,3.0,4.0,3.0,5.0,5.0,2.0,7.0,3.0,15.0,5.0,12.0,13.0,14.0,18.0,8.0,17.0,8.0,8.0,20.0,10.0,13.0,18.0,20.0,11.0,10.0,8.0,16.0,9.0,11.0,22.0,8.0,9.0,8.0,11.0,15.0,12.0,12.0,10.0
88ad36002dfffff,4.0,2.0,5.0,5.0,4.0,7.0,4.0,4.0,8.0,5.0,5.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,1.0,3.0,4.0,0.0,7.0,7.0,8.0,4.0,5.0,7.0,2.0,4.0,2.0,7.0,4.0,6.0,7.0,2.0,2.0,7.0,9.0,2.0,6.0,7.0,3.0,2.0,5.0,4.0,4.0,7.0,1.0,1.0
88ad360031fffff,1.0,7.0,6.0,7.0,18.0,5.0,6.0,12.0,11.0,13.0,15.0,11.0,2.0,4.0,2.0,3.0,1.0,2.0,6.0,9.0,10.0,6.0,14.0,8.0,8.0,3.0,4.0,7.0,9.0,6.0,7.0,9.0,7.0,7.0,9.0,6.0,9.0,12.0,15.0,5.0,7.0,13.0,6.0,6.0,10.0,5.0,12.0,9.0,8.0,12.0,10.0,3.0,2.0
88ad360033fffff,4.0,9.0,9.0,4.0,8.0,10.0,11.0,6.0,11.0,10.0,8.0,8.0,2.0,5.0,2.0,4.0,4.0,0.0,5.0,5.0,2.0,1.0,1.0,3.0,11.0,7.0,7.0,5.0,5.0,11.0,4.0,6.0,12.0,10.0,11.0,7.0,12.0,7.0,8.0,8.0,14.0,11.0,9.0,5.0,12.0,7.0,3.0,6.0,7.0,7.0,9.0,18.0,11.0
88ad360035fffff,5.0,14.0,9.0,8.0,9.0,10.0,10.0,7.0,20.0,8.0,10.0,8.0,0.0,1.0,1.0,9.0,7.0,6.0,4.0,6.0,9.0,8.0,7.0,7.0,7.0,5.0,16.0,16.0,15.0,10.0,18.0,7.0,10.0,11.0,8.0,7.0,5.0,8.0,13.0,11.0,16.0,9.0,9.0,5.0,5.0,5.0,8.0,7.0,8.0,7.0,4.0,4.0,2.0
88ad360037fffff,3.0,14.0,13.0,13.0,16.0,21.0,15.0,13.0,15.0,10.0,10.0,9.0,5.0,3.0,2.0,1.0,0.0,3.0,7.0,7.0,10.0,24.0,17.0,12.0,21.0,19.0,14.0,19.0,10.0,12.0,11.0,16.0,16.0,9.0,21.0,10.0,7.0,14.0,10.0,10.0,12.0,7.0,8.0,15.0,14.0,7.0,12.0,12.0,13.0,15.0,9.0,5.0,5.0
88ad360039fffff,5.0,8.0,9.0,8.0,5.0,2.0,13.0,9.0,20.0,12.0,5.0,7.0,6.0,2.0,3.0,6.0,2.0,0.0,3.0,1.0,4.0,6.0,10.0,5.0,11.0,4.0,10.0,12.0,10.0,0.0,6.0,8.0,10.0,9.0,14.0,13.0,4.0,13.0,10.0,10.0,11.0,12.0,5.0,5.0,12.0,6.0,5.0,10.0,5.0,11.0,8.0,8.0,8.0
88ad36003bfffff,5.0,11.0,14.0,9.0,14.0,6.0,10.0,13.0,15.0,8.0,10.0,6.0,5.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,5.0,2.0,5.0,0.0,5.0,3.0,12.0,4.0,2.0,8.0,10.0,4.0,6.0,6.0,5.0,8.0,11.0,5.0,4.0,1.0,6.0,12.0,14.0,3.0,4.0,6.0,6.0,4.0,15.0,9.0,0.0
88ad36003dfffff,8.0,18.0,12.0,8.0,4.0,5.0,7.0,12.0,18.0,9.0,7.0,5.0,7.0,8.0,0.0,9.0,4.0,0.0,9.0,2.0,3.0,8.0,10.0,9.0,4.0,3.0,9.0,13.0,6.0,3.0,10.0,3.0,12.0,14.0,12.0,17.0,25.0,9.0,4.0,8.0,6.0,7.0,7.0,7.0,13.0,16.0,8.0,13.0,7.0,7.0,4.0,10.0,3.0
88ad360041fffff,5.0,5.0,13.0,5.0,20.0,11.0,9.0,10.0,7.0,9.0,20.0,7.0,5.0,5.0,0.0,7.0,2.0,5.0,5.0,3.0,4.0,5.0,9.0,3.0,5.0,9.0,12.0,13.0,13.0,7.0,18.0,7.0,10.0,9.0,5.0,12.0,6.0,5.0,2.0,12.0,5.0,3.0,6.0,14.0,8.0,12.0,16.0,18.0,9.0,15.0,16.0,7.0,3.0
88ad360043fffff,1.0,4.0,44.0,13.0,4.0,3.0,11.0,10.0,3.0,2.0,3.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,9.0,1.0,3.0,3.0,1.0,2.0,3.0,21.0,6.0,1.0,6.0,2.0,7.0,3.0,4.0,6.0,5.0,4.0,9.0,8.0,2.0,1.0,8.0,2.0,3.0,10.0,3.0,3.0,4.0,13.0,8.0,7.0,2.0,0.0,2.0
88ad360045fffff,5.0,4.0,11.0,8.0,21.0,9.0,8.0,6.0,6.0,11.0,5.0,19.0,0.0,1.0,4.0,6.0,6.0,2.0,10.0,2.0,12.0,8.0,15.0,10.0,6.0,6.0,18.0,8.0,10.0,4.0,14.0,5.0,8.0,7.0,5.0,5.0,11.0,10.0,0.0,8.0,13.0,10.0,10.0,18.0,11.0,12.0,14.0,9.0,6.0,6.0,8.0,3.0,5.0
88ad360047fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360049fffff,2.0,12.0,15.0,3.0,9.0,7.0,3.0,10.0,10.0,17.0,7.0,5.0,5.0,1.0,2.0,0.0,5.0,3.0,17.0,1.0,7.0,9.0,5.0,6.0,8.0,8.0,5.0,12.0,2.0,12.0,8.0,8.0,9.0,10.0,8.0,4.0,7.0,38.0,14.0,9.0,2.0,8.0,10.0,31.0,14.0,13.0,17.0,7.0,8.0,17.0,14.0,8.0,3.0
88ad36004bfffff,0.0,4.0,14.0,5.0,3.0,2.0,6.0,1.0,0.0,3.0,5.0,9.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0
88ad36004dfffff,1.0,3.0,1.0,5.0,3.0,6.0,7.0,8.0,5.0,7.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,5.0,7.0,1.0,2.0,2.0,2.0,11.0,3.0,6.0,4.0,4.0,1.0,0.0,1.0,8.0,4.0,2.0,1.0,2.0,3.0,7.0,5.0,5.0,9.0,4.0,9.0,5.0,10.0,5.0,14.0,12.0,7.0,3.0
88ad360055fffff,3.0,2.0,7.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,5.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,5.0,0.0,1.0,5.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,0.0,6.0,0.0,1.0,0.0
88ad36005dfffff,0.0,3.0,9.0,0.0,2.0,8.0,6.0,3.0,2.0,9.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,13.0,1.0,2.0,4.0,2.0,11.0,4.0,3.0,4.0,2.0,1.0,5.0,3.0,1.0,2.0,4.0,3.0,2.0,5.0,3.0,0.0,3.0,1.0,5.0,3.0,2.0,1.0,0.0
88ad360061fffff,0.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0
88ad360063fffff,7.0,14.0,4.0,6.0,16.0,12.0,11.0,10.0,19.0,17.0,11.0,9.0,14.0,8.0,11.0,1.0,4.0,4.0,10.0,16.0,5.0,8.0,5.0,13.0,6.0,9.0,5.0,4.0,14.0,4.0,7.0,10.0,11.0,11.0,8.0,10.0,17.0,12.0,16.0,15.0,29.0,9.0,5.0,9.0,8.0,6.0,3.0,11.0,10.0,8.0,7.0,7.0,2.0
88ad360065fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,8.0,4.0,11.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
88ad360067fffff,5.0,6.0,8.0,9.0,5.0,8.0,7.0,12.0,5.0,10.0,11.0,6.0,8.0,2.0,4.0,2.0,1.0,1.0,2.0,11.0,2.0,2.0,5.0,10.0,3.0,3.0,12.0,3.0,7.0,4.0,5.0,4.0,9.0,3.0,11.0,11.0,10.0,4.0,9.0,5.0,11.0,4.0,4.0,3.0,7.0,2.0,7.0,4.0,12.0,7.0,6.0,2.0,1.0
88ad360069fffff,0.0,0.0,2.0,0.0,3.0,5.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad36006bfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad36006dfffff,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad3600a5fffff,0.0,1.0,0.0,4.0,1.0,0.0,1.0,4.0,3.0,5.0,5.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,8.0,2.0,4.0,6.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,0.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,8.0,1.0,3.0,2.0
88ad3600adfffff,0.0,2.0,2.0,5.0,1.0,3.0,3.0,3.0,6.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,12.0,3.0,10.0,4.0,10.0,8.0,10.0,3.0,0.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,0.0,1.0
88ad3600e5fffff,0.0,2.0,2.0,0.0,1.0,7.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,8.0,2.0,5.0,8.0,0.0,3.0,3.0,5.0,3.0
88ad360101fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88ad360103fffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88ad360105fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360109fffff,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
88ad36010bfffff,3.0,8.0,13.0,10.0,13.0,2.0,7.0,2.0,13.0,11.0,11.0,4.0,5.0,3.0,3.0,6.0,2.0,8.0,13.0,7.0,10.0,2.0,4.0,8.0,0.0,2.0,9.0,14.0,1.0,7.0,8.0,12.0,7.0,2.0,5.0,6.0,14.0,7.0,7.0,10.0,8.0,2.0,2.0,8.0,7.0,4.0,6.0,10.0,6.0,9.0,4.0,3.0,1.0
88ad36010dfffff,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88ad360111fffff,3.0,5.0,4.0,2.0,15.0,6.0,0.0,7.0,5.0,8.0,4.0,4.0,0.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,14.0,1.0,3.0,2.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,9.0,8.0,2.0,3.0,5.0,2.0,3.0,3.0,5.0,2.0,6.0,3.0,3.0,2.0,8.0,7.0,2.0,0.0
88ad360113fffff,2.0,5.0,4.0,2.0,6.0,1.0,2.0,6.0,7.0,9.0,3.0,13.0,2.0,2.0,6.0,1.0,6.0,0.0,3.0,2.0,3.0,6.0,2.0,5.0,2.0,2.0,1.0,5.0,7.0,2.0,4.0,3.0,9.0,4.0,0.0,4.0,0.0,0.0,3.0,2.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,12.0,10.0,3.0,3.0,1.0
88ad360115fffff,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,8.0,3.0,0.0,2.0,1.0,0.0,0.0
88ad360117fffff,1.0,1.0,1.0,2.0,0.0,2.0,2.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
88ad36011bfffff,5.0,17.0,14.0,9.0,13.0,16.0,12.0,14.0,21.0,16.0,10.0,10.0,5.0,9.0,6.0,7.0,3.0,4.0,17.0,7.0,2.0,8.0,10.0,10.0,14.0,2.0,4.0,6.0,4.0,13.0,7.0,8.0,8.0,12.0,4.0,4.0,8.0,11.0,12.0,22.0,10.0,6.0,6.0,4.0,13.0,16.0,9.0,12.0,10.0,11.0,12.0,4.0,3.0
88ad36011dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
88ad360125fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360129fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
88ad36012dfffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360131fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
88ad36013bfffff,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0
88ad360141fffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360143fffff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
88ad360145fffff,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad360147fffff,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88ad36014bfffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
